[2026-04-06 22:00:57] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:57] WARNING  | Detector | Prediction: Suspicious (score=42.75)
[2026-04-06 22:00:58] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:58] WARNING  | Detector | Prediction: Suspicious (score=41.36)
[2026-04-06 22:00:58] INFO     | Detector | Model loaded from disk
[2026-04-06 22:00:58] WARNING  | Detector | Prediction: Suspicious (score=43.37)
[2026-04-06 22:00:58] INFO     | FlaskApp | Processed 25 traffic samples
[2026-04-06 22:01:04] INFO     | NetworkMonitor | Simulated 25 packets
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:04] WARNING  | Detector | Prediction: Suspicious (score=45.61)
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:04] WARNING  | Detector | Prediction: Suspicious (score=42.65)
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:04] WARNING  | Detector | Prediction: Suspicious (score=41.26)
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:04] WARNING  | Detector | Prediction: Malicious (score=50.8)
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:04] WARNING  | Detector | Prediction: Malicious (score=53.91)
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:04] WARNING  | Detector | Prediction: Suspicious (score=47.55)
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:04] WARNING  | Detector | Prediction: Suspicious (score=41.7)
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:04] WARNING  | Detector | Prediction: Suspicious (score=42.75)
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:04] WARNING  | Detector | Prediction: Suspicious (score=45.74)
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:04] WARNING  | Detector | Prediction: Suspicious (score=43.39)
[2026-04-06 22:01:04] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=44.66)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=45.69)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=40.51)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=43.45)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=44.32)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=44.02)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=43.98)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=41.57)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
[2026-04-06 22:01:05] WARNING  | Detector | Prediction: Suspicious (score=46.27)
[2026-04-06 22:01:05] INFO     | Detector | Model loaded from disk
